Date, Open, High, Low, Close, Volume
10/31/22, 273.06, 273.63, 270.81, 272.66, 3336099
10/28/22, 267.51, 274.81, 265.99, 274.52, 4647609
10/27/22, 263.00, 266.99, 262.26, 265.11, 4145682
10/26/22, 257.84, 260.69, 256.12, 256.61, 3584203
10/25/22, 254.57, 257.28, 254.40, 255.73, 2688965
10/24/22, 255.28, 256.8699, 253.07, 255.32, 4125185
10/21/22, 250.21, 255.36, 249.50, 254.55, 3254868
10/20/22, 249.55, 251.75, 249.05, 249.77, 2410780
10/19/22, 250.00, 252.52, 249.115, 250.75, 3021325
10/18/22, 249.37, 250.42, 247.25, 249.19, 3123554
10/17/22, 245.80, 247.22, 243.53, 246.48, 2758210
10/14/22, 249.08, 249.43, 242.41, 243.16, 2918634
10/13/22, 234.46, 249.30, 234.46, 246.75, 5027008
10/12/22, 237.27, 240.035, 237.06, 237.06, 2709329
10/11/22, 234.16, 239.12, 233.93, 237.05, 3169249
10/10/22, 233.41, 236.2625, 233.41, 234.95, 2668736
10/07/22, 233.96, 234.60, 232.08, 233.19, 2294343
10/06/22, 239.34, 239.88, 234.455, 234.75, 2999161
10/05/22, 236.91, 240.41, 236.14, 239.09, 3032973
10/04/22, 236.71, 241.045, 236.21, 238.50, 3685899
10/03/22, 233.52, 236.85, 231.705, 235.34, 3286854
09/30/22, 233.32, 234.83, 230.58, 230.74, 3629346
09/29/22, 236.32, 237.66, 232.46, 234.40, 3053196
09/28/22, 236.13, 238.53, 233.76, 236.94, 4202520
09/27/22, 244.58, 244.93, 236.56, 236.70, 4193797
09/26/22, 245.94, 246.245, 242.44, 243.76, 3179136
09/23/22, 247.21, 249.095, 244.19, 245.95, 2672105
09/22/22, 250.39, 250.43, 247.65, 247.94, 2300536
09/21/22, 255.13, 256.91, 251.08, 251.08, 2438811
09/20/22, 256.10, 256.49, 252.78, 255.40, 2140264
09/19/22, 254.00, 257.55, 253.35, 257.01, 2196034
09/16/22, 251.85, 255.82, 251.75, 254.91, 4304082
09/15/22, 255.02, 255.23, 252.49, 253.47, 2289465
09/14/22, 255.00, 258.265, 254.37, 255.72, 2745402
09/13/22, 257.74, 258.95, 253.67, 254.33, 2604856
09/12/22, 260.00, 261.40, 259.42, 260.37, 2204324
09/09/22, 260.26, 260.74, 258.21, 259.52, 2007248
09/08/22, 257.85, 261.085, 257.33, 260.08, 2448912
